Date,Adj Close,Close,High,Low,Open,Volume
2024-05-23,98.72,100.2,100.3,99.55,99.9,5244033
2024-05-24,98.43,99.9,100.05,99,99.5,3466220
2024-05-27,99.61,101.1,101.55,100.5,100.5,5851429
2024-05-28,99.66,101.15,101.45,100.9,101.1,4204315
2024-05-29,98.57,100.05,100.95,99.9,100.95,5485832
2024-05-30,96.85,98.3,99,98.3,98.65,8385195
2024-05-31,96.06,97.5,99,97.5,98.5,7892789
2024-06-03,97.69,99.15,99.5,98.1,99,7152802
2024-06-04,96.36,97.8,98.95,97.6,98.95,6423501
2024-06-05,97.29,98.75,99,97.3,97.9,4539336
2024-06-06,100.3,101.8,102.25,101.1,101.45,9709787
2024-06-07,99.56,101.05,101.5,100.85,101.5,3280232
2024-06-11,99.81,101.3,102,101.15,101.4,5780287
2024-06-12,101.63,103.15,103.25,101.3,101.3,6083668
2024-06-13,103.01,104.55,105.65,103.9,104.75,7841447
2024-06-14,103.7,105.25,105.25,103.9,104.5,5827803
2024-06-17,103.65,105.2,105.65,104.75,105.2,5835511
2024-06-18,105.37,106.95,107.25,106.4,106.4,5302669
2024-06-19,108.62,110.25,110.6,107.5,107.5,12362822
2024-06-20,109.22,110.85,110.95,110,110.25,7049615
2024-06-21,108.38,110,110.6,109.45,109.9,12920208
2024-06-24,106.01,107.6,109,107.55,108.9,9365865
2024-06-25,105.87,107.45,107.6,105.85,106.9,8143243
2024-06-26,106.85,108.45,108.95,107.9,108.25,9175322
2024-06-27,106.65,108.25,108.4,107.4,107.5,5173515
2024-06-28,107.59,109.2,109.65,108.15,108.25,5587062
2024-07-01,107.79,109.4,110.2,109.2,109.25,6888546
2024-07-02,107,108.6,109.5,108.2,109.05,5963331
2024-07-03,108.23,109.85,110,109.2,110,5678415
2024-07-04,110.99,112.65,112.75,111.6,111.6,8582513
2024-07-05,110.74,112.4,112.95,112.3,112.7,7106343
2024-07-08,113.9,115.6,116.2,112.5,112.5,14045771
